workload_id,workload_type,workload_description,cpu_cores,memory_gb,gpu_required,data_size_tb,io_intensive,network_bandwidth_gbps,concurrent_users,latency_requirement_ms,availability_requirement,data_location,storage_type,recommended_cluster_size,recommended_node_count,estimated_cost_per_hour
workload_001,Feature Engineering,Feature Engineering workload processing 73.22619478695937TB of data with 701 users,10,67,False,73.23,True,23.82,701,2984.65,97.22,us-east-1,NVMe,small,4,2.0
workload_002,Batch Processing,Nightly ETL jobs processing 60.15138967314656TB of data from multiple sources,14,90,False,60.15,True,21.79,664,3254.79,95.28,us-east-1,EFS,small,3,1.5
workload_003,Machine Learning Training,Training deep neural networks on 18.42211053435804TB of training data with 460 data scientists,53,449,False,18.42,True,26.36,460,3058.65,95.04,us-east-1,HDD,medium,3,3.6
workload_004,Batch Processing,Batch analytics workload requiring 20 cores for compute-intensive operations,20,106,False,14.04,True,15.68,476,4868.8,96.16,us-west-2,EFS,small,3,1.5
workload_005,Stream Processing,Stream Processing workload processing 51.4720203975198TB of data with 832 users,54,221,False,51.47,True,39.98,832,2334.35,99.29,us-west-2,S3,medium,7,8.4
workload_006,Deep Learning,Deep Learning workload processing 94.2259553929168TB of data with 14 users,88,230,False,94.23,True,11.19,14,4042.18,96.52,us-west-2,S3,medium,7,8.4
workload_007,ETL Pipeline,ETL Pipeline workload processing 68.35802553066328TB of data with 428 users,5,99,False,68.36,False,6.78,428,2476.39,95.17,us-west-2,HDD,small,3,1.5
workload_008,ETL Pipeline,ETL Pipeline workload processing 75.56060489073349TB of data with 390 users,20,51,False,75.56,True,5.37,390,1040.5,97.83,us-east-1,S3,small,2,1.0
workload_009,Machine Learning Training,AutoML pipeline processing large feature sets with high memory requirements,78,465,False,93.96,False,79.76,958,4633.37,98.63,eu-west-1,SSD,large,12,30.0
workload_010,Data Mining,Data Mining workload processing 96.12108523249998TB of data with 725 users,17,102,False,96.12,False,13.5,725,1944.0,96.35,multi-region,SSD,small,2,1.0
workload_011,Stream Processing,Stream Processing workload processing 60.7427213438998TB of data with 493 users,31,185,False,60.74,True,97.39,493,705.48,99.0,us-east-1,EFS,large,5,12.5
workload_012,Data Warehousing,Multi-dimensional analysis on large fact tables with star schema design,120,966,False,39.55,True,26.94,648,28.61,99.07,multi-region,NVMe,large,5,12.5
workload_013,Deep Learning,Deep Learning workload processing 60.63540148062304TB of data with 490 users,23,226,True,60.64,True,81.12,490,1792.97,95.58,us-east-1,HDD,large,11,27.5
workload_014,Data Warehousing,Enterprise data warehouse storing 9.631470637392091TB with 503 concurrent query users,232,967,False,9.63,True,27.98,503,1555.6,96.62,us-west-2,SSD,large,7,17.5
workload_015,Stream Processing,Stream Processing workload processing 56.16821824218535TB of data with 739 users,51,135,False,56.17,True,45.6,739,598.85,98.56,eu-west-1,S3,medium,3,3.6
workload_016,Feature Engineering,Feature Engineering workload processing 25.681225443856267TB of data with 795 users,8,105,False,25.68,False,6.66,795,2614.14,97.13,us-west-2,NVMe,small,3,1.5
workload_017,ETL Pipeline,ETL Pipeline workload processing 89.58678320778459TB of data with 241 users,31,92,False,89.59,True,5.84,241,1572.47,97.54,eu-west-1,SSD,small,3,1.5
workload_018,Deep Learning,Deep Learning workload processing 54.03012502103715TB of data with 541 users,116,470,True,54.03,True,64.4,541,1144.76,95.38,us-west-2,S3,xlarge,9,45.0
workload_019,Stream Processing,Stream Processing workload processing 10.638876557044034TB of data with 796 users,49,76,False,10.64,True,47.17,796,4018.56,95.93,eu-west-1,EFS,medium,5,6.0
workload_020,Batch Processing,Nightly ETL jobs processing 90.69216131042083TB of data from multiple sources,29,107,False,90.69,False,9.55,385,1140.45,97.13,us-west-2,SSD,small,2,1.0
workload_021,ETL Pipeline,ETL Pipeline workload processing 51.12365552749882TB of data with 649 users,12,18,False,51.12,False,1.17,649,2424.67,98.46,eu-west-1,SSD,small,3,1.5
workload_022,Batch Processing,Nightly ETL jobs processing 32.38797290887345TB of data from multiple sources,15,39,False,32.39,False,23.63,608,2790.95,97.02,ap-southeast-1,S3,small,3,1.5
workload_023,Feature Engineering,Feature Engineering workload processing 25.253051352953882TB of data with 386 users,20,73,False,25.25,False,24.1,386,3561.64,95.74,us-west-2,NVMe,small,2,1.0
workload_024,Real-time Processing,Processing streaming data from 997 concurrent sources with sub-100ms latency requirements,56,33,False,5.24,True,62.7,997,1726.01,98.17,multi-region,EFS,medium,4,4.8
workload_025,Data Warehousing,Multi-dimensional analysis on large fact tables with star schema design,84,811,False,55.33,True,27.91,247,3361.01,98.8,multi-region,S3,medium,5,6.0
workload_026,Deep Learning,Deep Learning workload processing 47.08303338115924TB of data with 610 users,32,318,False,47.08,False,82.28,610,3168.02,97.67,us-west-2,HDD,large,5,12.5
workload_027,Time Series Analysis,Time Series Analysis workload processing 4.173436641320915TB of data with 660 users,12,74,False,4.17,False,5.48,660,1630.47,96.1,us-east-1,SSD,small,3,1.5
workload_028,Machine Learning Training,AutoML pipeline processing large feature sets with high memory requirements,82,210,True,9.71,True,41.38,489,3455.0,96.93,ap-southeast-1,EFS,large,6,15.0
workload_029,Machine Learning Training,AutoML pipeline processing large feature sets with high memory requirements,119,192,False,73.55,False,70.81,946,4623.54,99.38,ap-southeast-1,EFS,large,7,17.5
workload_030,Data Warehousing,Multi-dimensional analysis on large fact tables with star schema design,38,891,False,98.22,True,17.0,572,1304.89,99.97,us-east-1,SSD,medium,6,7.2
workload_031,Feature Engineering,Feature Engineering workload processing 18.9518401233038TB of data with 233 users,8,52,False,18.95,False,22.18,233,1746.7,98.62,eu-west-1,SSD,small,4,2.0
workload_032,Data Warehousing,OLAP workload requiring high memory (279GB) for complex aggregations,179,279,False,88.79,True,26.18,628,421.62,95.81,us-west-2,S3,large,10,25.0
workload_033,Data Analytics,Business intelligence workload processing 37.29104837951814TB of transactional data for real-time dashboards,135,979,False,37.29,True,33.23,473,3317.85,95.03,eu-west-1,EFS,large,6,15.0
workload_034,Real-time Processing,IoT data processing pipeline with high throughput and low latency requirements,9,85,False,99.45,True,58.63,996,3561.18,96.18,us-east-1,NVMe,medium,7,8.4
workload_035,Feature Engineering,Feature Engineering workload processing 74.44263525335057TB of data with 195 users,19,35,False,74.44,True,9.8,195,3288.41,97.84,us-west-2,NVMe,small,4,2.0
workload_036,Real-time Processing,IoT data processing pipeline with high throughput and low latency requirements,58,245,False,24.47,True,44.89,38,4894.49,97.43,multi-region,SSD,medium,5,6.0
workload_037,Deep Learning,Deep Learning workload processing 64.54582586685343TB of data with 879 users,42,289,False,64.55,False,41.51,879,2463.1,95.97,us-east-1,SSD,medium,7,8.4
workload_038,ETL Pipeline,ETL Pipeline workload processing 76.87854602920027TB of data with 512 users,19,34,False,76.88,False,14.73,512,886.38,99.69,us-west-2,SSD,small,2,1.0
workload_039,Batch Processing,Nightly ETL jobs processing 1.644115991233856TB of data from multiple sources,17,21,False,1.64,True,9.88,280,1654.42,97.76,ap-southeast-1,SSD,small,4,2.0
workload_040,Time Series Analysis,Time Series Analysis workload processing 29.515444317751612TB of data with 981 users,6,75,False,29.52,True,21.47,981,955.36,96.34,us-west-2,S3,small,4,2.0
workload_041,Time Series Analysis,Time Series Analysis workload processing 84.43689275855851TB of data with 323 users,21,40,False,84.44,True,10.47,323,2850.74,95.48,eu-west-1,EFS,small,4,2.0
workload_042,Deep Learning,Deep Learning workload processing 51.881132271137304TB of data with 386 users,101,214,False,51.88,True,22.61,386,1613.43,99.23,multi-region,HDD,medium,3,3.6
workload_043,Data Mining,Data Mining workload processing 29.72136335041507TB of data with 538 users,14,63,False,29.72,False,14.27,538,4050.76,99.33,ap-southeast-1,NVMe,small,2,1.0
workload_044,Graph Analytics,Graph Analytics workload processing 79.84968837878084TB of data with 321 users,31,22,False,79.85,False,13.04,321,355.63,96.98,us-east-1,HDD,small,3,1.5
workload_045,Batch Processing,Large-scale data transformation pipeline running 800 parallel jobs,15,102,False,57.93,True,1.66,800,2891.82,95.18,us-east-1,EFS,small,2,1.0
workload_046,Time Series Analysis,Time Series Analysis workload processing 83.9094568567294TB of data with 570 users,29,78,False,83.91,True,24.56,570,153.47,95.19,multi-region,HDD,medium,5,6.0
workload_047,Data Analytics,Running complex analytical queries on 77.02235595455123TB of customer data with 620 concurrent analysts,219,740,False,77.02,True,30.89,620,3114.83,95.43,us-east-1,HDD,large,8,20.0
workload_048,Machine Learning Training,Training deep neural networks on 13.921473932538357TB of training data with 656 data scientists,109,110,True,13.92,False,72.96,656,4879.28,97.58,multi-region,HDD,xlarge,24,120.0
workload_049,Data Warehousing,Multi-dimensional analysis on large fact tables with star schema design,151,958,False,74.43,True,27.34,346,127.73,99.8,ap-southeast-1,HDD,large,11,27.5
workload_050,Time Series Analysis,Time Series Analysis workload processing 17.412102575077494TB of data with 513 users,12,27,False,17.41,True,10.81,513,2212.32,96.2,multi-region,EFS,small,3,1.5
workload_051,Graph Analytics,Graph Analytics workload processing 28.065396304899693TB of data with 272 users,19,104,False,28.07,True,16.84,272,2583.96,98.28,ap-southeast-1,S3,small,2,1.0
workload_052,Batch Processing,Nightly ETL jobs processing 24.848325851165633TB of data from multiple sources,25,108,False,24.85,True,11.07,656,794.07,95.6,ap-southeast-1,NVMe,small,2,1.0
workload_053,Stream Processing,Stream Processing workload processing 4.168807351665117TB of data with 750 users,21,251,False,4.17,True,28.45,750,4897.57,95.87,ap-southeast-1,S3,medium,4,4.8
workload_054,Data Mining,Data Mining workload processing 34.69580167683114TB of data with 254 users,29,63,False,34.7,True,20.37,254,2169.82,96.99,us-east-1,SSD,small,3,1.5
workload_055,Stream Processing,Stream Processing workload processing 26.163272971837227TB of data with 906 users,61,100,False,26.16,True,91.5,906,3129.67,97.51,eu-west-1,SSD,large,5,12.5
workload_056,Batch Processing,Nightly ETL jobs processing 61.623531322552395TB of data from multiple sources,27,84,False,61.62,True,17.42,336,3212.45,95.13,multi-region,S3,small,4,2.0
workload_057,Real-time Processing,Real-time fraud detection system handling 57.37936746302614TB of transaction data daily,27,183,False,57.38,True,75.79,545,2291.81,97.72,us-west-2,NVMe,medium,7,8.4
workload_058,Graph Analytics,Graph Analytics workload processing 65.18332870859302TB of data with 43 users,15,82,False,65.18,True,20.69,43,979.76,95.35,us-east-1,S3,small,4,2.0
workload_059,Time Series Analysis,Time Series Analysis workload processing 61.8635630453555TB of data with 727 users,17,17,False,61.86,True,1.94,727,356.87,96.59,us-east-1,EFS,small,3,1.5
workload_060,Data Analytics,Running complex analytical queries on 26.143383370766724TB of customer data with 903 concurrent analysts,233,729,False,26.14,True,23.62,903,591.71,98.48,us-west-2,HDD,large,12,30.0
workload_061,Stream Processing,Stream Processing workload processing 28.275253799873518TB of data with 394 users,43,248,False,28.28,True,85.26,394,2117.93,97.84,ap-southeast-1,S3,large,7,17.5
workload_062,Batch Processing,Nightly ETL jobs processing 37.26460677069904TB of data from multiple sources,20,114,False,37.26,False,10.9,999,2903.14,99.33,us-west-2,S3,small,2,1.0
workload_063,Data Analytics,Performing statistical analysis and reporting on large datasets requiring 43 cores and 496GB RAM,43,496,False,74.02,True,37.19,867,516.52,99.5,eu-west-1,S3,medium,6,7.2
workload_064,Data Warehousing,OLAP workload requiring high memory (856GB) for complex aggregations,143,856,False,89.56,True,22.8,177,268.37,99.78,multi-region,S3,large,7,17.5
workload_065,Real-time Processing,Processing streaming data from 384 concurrent sources with sub-100ms latency requirements,19,40,False,95.01,True,48.95,384,2413.12,97.46,eu-west-1,HDD,medium,7,8.4
workload_066,Data Analytics,Business intelligence workload processing 55.4149349293455TB of transactional data for real-time dashboards,100,226,False,55.41,True,34.1,469,3762.12,98.95,multi-region,SSD,medium,3,3.6
workload_067,Data Mining,Data Mining workload processing 97.42739603258758TB of data with 398 users,10,124,False,97.43,False,23.34,398,2748.09,97.2,us-east-1,SSD,small,4,2.0
workload_068,Deep Learning,Deep Learning workload processing 96.86832920301609TB of data with 9 users,108,298,False,96.87,True,73.52,9,3807.79,98.08,us-east-1,EFS,large,10,25.0
workload_069,Machine Learning Training,AutoML pipeline processing large feature sets with high memory requirements,22,237,True,7.37,True,73.09,946,4459.59,95.73,us-east-1,HDD,large,9,22.5
workload_070,Stream Processing,Stream Processing workload processing 86.32753834670149TB of data with 342 users,45,114,False,86.33,True,68.6,342,4064.19,99.73,us-east-1,EFS,medium,3,3.6
workload_071,Batch Processing,Batch analytics workload requiring 16 cores for compute-intensive operations,16,19,False,70.85,True,9.41,787,3885.96,97.79,us-east-1,S3,small,4,2.0
workload_072,Feature Engineering,Feature Engineering workload processing 43.50173926437831TB of data with 173 users,13,105,False,43.5,False,8.93,173,57.76,97.34,eu-west-1,HDD,small,3,1.5
workload_073,Feature Engineering,Feature Engineering workload processing 82.29675615248165TB of data with 935 users,23,107,False,82.3,False,19.41,935,3730.48,97.91,us-west-2,NVMe,small,3,1.5
workload_074,Stream Processing,Stream Processing workload processing 22.43722426809332TB of data with 134 users,56,184,False,22.44,True,90.14,134,4010.74,99.88,us-west-2,NVMe,large,9,22.5
workload_075,Graph Analytics,Graph Analytics workload processing 7.472276817066347TB of data with 227 users,19,100,False,7.47,False,24.83,227,3477.36,95.38,us-east-1,SSD,small,4,2.0
workload_076,Graph Analytics,Graph Analytics workload processing 45.508652370300545TB of data with 373 users,12,64,False,45.51,True,17.7,373,3484.93,96.92,us-east-1,EFS,small,4,2.0
workload_077,Batch Processing,Nightly ETL jobs processing 95.04610725924822TB of data from multiple sources,28,90,False,95.05,False,7.74,968,1973.21,95.53,eu-west-1,SSD,small,2,1.0
workload_078,Batch Processing,Large-scale data transformation pipeline running 316 parallel jobs,11,107,False,38.89,False,16.52,316,2918.7,95.39,us-west-2,S3,small,2,1.0
workload_079,Time Series Analysis,Time Series Analysis workload processing 3.3283635158540816TB of data with 201 users,7,79,False,3.33,False,11.88,201,1548.33,99.06,multi-region,EFS,small,2,1.0
workload_080,Data Analytics,Business intelligence workload processing 94.0591295308248TB of transactional data for real-time dashboards,172,685,False,94.06,True,13.05,883,3628.87,98.06,multi-region,NVMe,large,6,15.0
workload_081,Feature Engineering,Feature Engineering workload processing 55.2036284671526TB of data with 5 users,13,71,False,55.2,True,22.04,5,132.81,96.88,us-west-2,NVMe,small,2,1.0
workload_082,Machine Learning Training,"Distributed ML model training requiring 33 cores, 287GB RAM and GPU acceleration",33,287,True,37.74,True,98.68,282,1905.07,99.84,eu-west-1,EFS,xlarge,24,120.0
workload_083,Batch Processing,Nightly ETL jobs processing 41.54046828353275TB of data from multiple sources,16,48,False,41.54,False,12.25,385,69.35,95.38,eu-west-1,EFS,small,2,1.0
workload_084,Graph Analytics,Graph Analytics workload processing 91.32525865053853TB of data with 23 users,8,110,False,91.33,False,19.0,23,3845.17,99.71,us-east-1,SSD,small,3,1.5
workload_085,Feature Engineering,Feature Engineering workload processing 20.584028317801838TB of data with 1 users,22,32,False,20.58,False,6.79,1,4770.3,98.02,eu-west-1,SSD,small,3,1.5
workload_086,Data Analytics,Performing statistical analysis and reporting on large datasets requiring 224 cores and 1008GB RAM,224,1008,False,4.78,True,40.28,95,568.67,98.35,us-west-2,NVMe,large,6,15.0
workload_087,Real-time Processing,IoT data processing pipeline with high throughput and low latency requirements,61,149,False,30.85,True,87.35,961,2759.98,97.8,ap-southeast-1,EFS,large,13,32.5
workload_088,Data Mining,Data Mining workload processing 42.111524288641TB of data with 229 users,20,127,False,42.11,False,12.52,229,3101.93,98.51,multi-region,SSD,small,4,2.0
workload_089,Machine Learning Training,AutoML pipeline processing large feature sets with high memory requirements,118,485,True,98.05,True,65.55,306,2950.0,96.96,us-east-1,NVMe,xlarge,9,45.0
workload_090,Deep Learning,Deep Learning workload processing 78.38693597284019TB of data with 542 users,67,312,True,78.39,False,56.26,542,3110.81,99.3,us-west-2,SSD,large,9,22.5
workload_091,Data Warehousing,OLAP workload requiring high memory (265GB) for complex aggregations,60,265,False,49.26,True,47.06,508,332.11,95.23,us-east-1,NVMe,medium,7,8.4
workload_092,Batch Processing,Batch analytics workload requiring 5 cores for compute-intensive operations,5,92,False,58.01,True,6.02,971,380.24,95.64,us-east-1,NVMe,small,4,2.0
workload_093,Time Series Analysis,Time Series Analysis workload processing 69.79699061232348TB of data with 900 users,19,110,False,69.8,False,10.61,900,910.22,96.72,multi-region,HDD,small,4,2.0
workload_094,Batch Processing,Nightly ETL jobs processing 17.314755133042823TB of data from multiple sources,6,42,False,17.31,True,17.02,634,1120.02,99.1,ap-southeast-1,SSD,small,3,1.5
workload_095,Real-time Processing,IoT data processing pipeline with high throughput and low latency requirements,35,201,False,8.96,True,38.28,513,2672.58,96.78,eu-west-1,S3,medium,4,4.8
workload_096,Feature Engineering,Feature Engineering workload processing 32.2261181915349TB of data with 794 users,20,93,False,32.23,True,8.92,794,3997.25,98.13,eu-west-1,HDD,small,4,2.0
workload_097,Data Mining,Data Mining workload processing 37.79086792768305TB of data with 337 users,27,109,False,37.79,True,4.77,337,1385.11,99.02,ap-southeast-1,SSD,small,2,1.0
workload_098,Graph Analytics,Graph Analytics workload processing 37.11016306885906TB of data with 726 users,6,67,False,37.11,True,6.02,726,1181.35,98.79,us-west-2,S3,small,3,1.5
workload_099,ETL Pipeline,ETL Pipeline workload processing 3.7646519687707305TB of data with 312 users,27,17,False,3.76,False,18.94,312,666.45,98.43,us-west-2,HDD,small,4,2.0
workload_100,Data Analytics,Business intelligence workload processing 86.73477660936486TB of transactional data for real-time dashboards,138,878,False,86.73,True,11.22,806,2663.55,96.21,us-west-2,S3,medium,3,3.6
workload_101,ETL Pipeline,ETL Pipeline workload processing 56.44011269268176TB of data with 273 users,26,116,False,56.44,False,5.37,273,1058.03,96.63,us-east-1,NVMe,small,2,1.0
workload_102,ETL Pipeline,ETL Pipeline workload processing 67.94232168253451TB of data with 67 users,20,28,False,67.94,False,15.25,67,3244.47,97.39,multi-region,NVMe,small,4,2.0
workload_103,Data Analytics,Running complex analytical queries on 58.69488992260983TB of customer data with 748 concurrent analysts,245,161,False,58.69,True,32.31,748,638.77,96.42,eu-west-1,HDD,large,10,25.0
workload_104,Deep Learning,Deep Learning workload processing 24.51088023091899TB of data with 315 users,67,345,False,24.51,True,64.68,315,4932.59,98.02,us-east-1,EFS,large,5,12.5
workload_105,Stream Processing,Stream Processing workload processing 36.59914628543836TB of data with 624 users,60,181,False,36.6,True,41.9,624,804.25,95.93,eu-west-1,NVMe,medium,3,3.6
workload_106,Stream Processing,Stream Processing workload processing 41.09864301626719TB of data with 548 users,62,162,False,41.1,True,64.34,548,4986.28,99.47,multi-region,EFS,large,8,20.0
workload_107,Machine Learning Training,"Distributed ML model training requiring 107 cores, 138GB RAM",107,138,False,81.73,True,87.9,881,2454.25,98.61,us-east-1,S3,large,13,32.5
workload_108,Data Analytics,Business intelligence workload processing 47.71428646422856TB of transactional data for real-time dashboards,225,974,False,47.71,True,31.4,173,3847.7,95.93,multi-region,HDD,large,10,25.0
workload_109,ETL Pipeline,ETL Pipeline workload processing 73.65109365147897TB of data with 140 users,7,34,False,73.65,False,5.79,140,575.07,98.05,us-east-1,NVMe,small,3,1.5
workload_110,Deep Learning,Deep Learning workload processing 48.16589617529627TB of data with 259 users,52,445,False,48.17,True,23.89,259,260.07,96.68,eu-west-1,EFS,medium,4,4.8
workload_111,Data Warehousing,Multi-dimensional analysis on large fact tables with star schema design,36,777,False,32.3,True,49.6,642,440.25,95.69,ap-southeast-1,NVMe,medium,3,3.6
workload_112,Stream Processing,Stream Processing workload processing 47.210461236160825TB of data with 419 users,24,40,False,47.21,True,69.67,419,1744.99,99.64,eu-west-1,EFS,medium,6,7.2
workload_113,Real-time Processing,Processing streaming data from 137 concurrent sources with sub-100ms latency requirements,51,209,False,73.11,True,34.32,137,1025.8,96.89,ap-southeast-1,S3,medium,3,3.6
workload_114,Feature Engineering,Feature Engineering workload processing 84.19869479815138TB of data with 840 users,11,79,False,84.2,True,14.79,840,4139.88,98.75,multi-region,EFS,small,3,1.5
workload_115,Data Warehousing,OLAP workload requiring high memory (852GB) for complex aggregations,66,852,False,23.65,True,17.46,78,2615.8,96.79,multi-region,SSD,medium,7,8.4
workload_116,Data Warehousing,OLAP workload requiring high memory (216GB) for complex aggregations,73,216,False,45.25,True,37.32,616,1885.35,97.31,us-west-2,S3,medium,3,3.6
workload_117,Deep Learning,Deep Learning workload processing 23.29804824516705TB of data with 225 users,38,126,False,23.3,False,55.24,225,1958.02,97.65,ap-southeast-1,S3,medium,7,8.4
workload_118,Feature Engineering,Feature Engineering workload processing 11.778114266765572TB of data with 646 users,11,119,False,11.78,True,15.98,646,1664.75,98.65,multi-region,S3,small,3,1.5
workload_119,Data Mining,Data Mining workload processing 49.59282027775617TB of data with 478 users,23,30,False,49.59,True,22.09,478,4469.57,98.94,us-east-1,NVMe,small,3,1.5
workload_120,Time Series Analysis,Time Series Analysis workload processing 77.87933671117004TB of data with 289 users,28,112,False,77.88,False,17.97,289,168.63,97.84,us-east-1,HDD,small,3,1.5
workload_121,Feature Engineering,Feature Engineering workload processing 82.14360473673409TB of data with 159 users,8,89,False,82.14,False,9.21,159,1894.73,97.28,us-west-2,HDD,small,4,2.0
workload_122,Real-time Processing,Processing streaming data from 844 concurrent sources with sub-100ms latency requirements,36,167,False,23.0,True,36.24,844,3859.64,95.06,us-east-1,HDD,medium,5,6.0
workload_123,Graph Analytics,Graph Analytics workload processing 25.254725984804583TB of data with 69 users,22,51,False,25.25,True,14.03,69,4134.17,99.79,ap-southeast-1,S3,small,3,1.5
workload_124,Feature Engineering,Feature Engineering workload processing 28.86416868592504TB of data with 363 users,9,87,False,28.86,True,11.17,363,767.6,97.93,ap-southeast-1,S3,small,3,1.5
workload_125,Stream Processing,Stream Processing workload processing 72.63694904763383TB of data with 683 users,25,248,False,72.64,True,44.2,683,4660.66,97.82,us-west-2,HDD,medium,6,7.2
workload_126,Feature Engineering,Feature Engineering workload processing 15.33865038713471TB of data with 604 users,8,52,False,15.34,True,17.97,604,1872.8,95.34,us-east-1,S3,small,4,2.0
workload_127,Batch Processing,Batch analytics workload requiring 17 cores for compute-intensive operations,17,55,False,91.08,True,21.17,769,567.08,99.91,multi-region,S3,small,3,1.5
workload_128,Data Analytics,Business intelligence workload processing 33.2814266242284TB of transactional data for real-time dashboards,195,309,False,33.28,True,43.5,950,2594.67,97.95,us-west-2,SSD,large,9,22.5
workload_129,Graph Analytics,Graph Analytics workload processing 20.637422856726186TB of data with 313 users,18,88,False,20.64,True,18.86,313,24.16,96.66,ap-southeast-1,EFS,small,4,2.0
workload_130,Time Series Analysis,Time Series Analysis workload processing 92.30372715666864TB of data with 903 users,23,40,False,92.3,False,21.72,903,1735.42,98.68,ap-southeast-1,EFS,small,2,1.0
workload_131,Data Mining,Data Mining workload processing 14.171616335942007TB of data with 664 users,14,74,False,14.17,False,11.86,664,2888.58,95.83,multi-region,S3,small,2,1.0
workload_132,Real-time Processing,IoT data processing pipeline with high throughput and low latency requirements,31,192,False,58.1,True,52.18,662,1101.27,96.06,ap-southeast-1,S3,medium,3,3.6
workload_133,Data Warehousing,Enterprise data warehouse storing 14.951406502535985TB with 630 concurrent query users,230,976,False,14.95,True,48.44,630,4303.3,97.67,eu-west-1,EFS,large,12,30.0
workload_134,Graph Analytics,Graph Analytics workload processing 6.8009400911039055TB of data with 215 users,20,86,False,6.8,True,15.29,215,2134.52,98.99,eu-west-1,S3,small,3,1.5
workload_135,Machine Learning Training,"Distributed ML model training requiring 47 cores, 221GB RAM",47,221,False,3.75,True,27.16,286,4182.99,97.93,eu-west-1,NVMe,medium,3,3.6
workload_136,Time Series Analysis,Time Series Analysis workload processing 53.49214353659897TB of data with 113 users,17,62,False,53.49,True,13.66,113,2004.41,97.79,us-west-2,HDD,small,4,2.0
workload_137,Batch Processing,Batch analytics workload requiring 7 cores for compute-intensive operations,7,16,False,7.64,False,9.02,643,1867.17,96.35,us-west-2,HDD,small,3,1.5
workload_138,Machine Learning Training,"Distributed ML model training requiring 49 cores, 443GB RAM",49,443,False,97.9,False,82.07,800,3580.15,98.29,multi-region,S3,large,5,12.5
workload_139,Stream Processing,Stream Processing workload processing 67.22208508551297TB of data with 328 users,62,98,False,67.22,True,42.33,328,521.44,98.99,us-east-1,HDD,medium,5,6.0
workload_140,Stream Processing,Stream Processing workload processing 72.10922832141961TB of data with 803 users,58,128,False,72.11,True,66.75,803,1216.62,98.6,ap-southeast-1,EFS,large,12,30.0
workload_141,Data Mining,Data Mining workload processing 94.44653158516962TB of data with 182 users,17,122,False,94.45,True,24.1,182,1025.72,96.46,multi-region,S3,small,3,1.5
workload_142,Graph Analytics,Graph Analytics workload processing 20.86783688908813TB of data with 147 users,10,89,False,20.87,True,3.05,147,614.76,99.37,eu-west-1,NVMe,small,2,1.0
workload_143,Stream Processing,Stream Processing workload processing 62.513650977220784TB of data with 523 users,25,33,False,62.51,True,93.3,523,1297.86,96.89,ap-southeast-1,EFS,large,11,27.5
workload_144,Data Mining,Data Mining workload processing 34.58469527363943TB of data with 256 users,26,27,False,34.58,True,20.94,256,2760.68,97.18,ap-southeast-1,HDD,small,4,2.0
workload_145,Data Warehousing,OLAP workload requiring high memory (491GB) for complex aggregations,117,491,False,86.86,True,15.6,632,4926.85,97.35,ap-southeast-1,SSD,medium,3,3.6
workload_146,Stream Processing,Stream Processing workload processing 74.1945257284437TB of data with 962 users,57,146,False,74.19,True,63.43,962,3167.76,96.29,eu-west-1,S3,medium,5,6.0
workload_147,Data Mining,Data Mining workload processing 90.06717289351494TB of data with 610 users,17,19,False,90.07,True,4.17,610,1362.26,95.09,ap-southeast-1,HDD,small,3,1.5
workload_148,Deep Learning,Deep Learning workload processing 27.478116546651883TB of data with 17 users,100,105,True,27.48,False,61.89,17,2026.84,97.48,multi-region,EFS,xlarge,19,95.0
